company_name,company_linkedin_url,job_title,time_posted,num_applicants
Alignerr,https://www.linkedin.com/company/alignerr,AI Automation & DevOps Engineer,,0
Alignerr,https://www.linkedin.com/company/alignerr,AI Automation & Tool Use Engineer,,0
NOX METALS,https://www.linkedin.com/company/noxmetals,Perception Engineer,,0
Alignerr,https://www.linkedin.com/company/alignerr,AI Automation & Tool Use Engineer,,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Python - Senior Developers - AI Training - El Paso, USA",,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - San Luis Potosí, Mexico",,0
Mercor,https://www.linkedin.com/company/mercor-ai,Claims Adjuster | Upto $80/hr Part-time - AI Trainer,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Mayfield,https://www.linkedin.com/company/mayfield-fund,AI Operations Engineer,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Alignerr,https://www.linkedin.com/company/alignerr,AI Automation & Tool Use Engineer,,0
Ramsey Solutions,https://www.linkedin.com/company/ramseysolutions-lampo,Senior Software Engineer,,0
Intersect,https://www.linkedin.com/company/intersect-com,Settlements,,0
SoFi,https://www.linkedin.com/company/sofi,Pre-Approval Specialist,,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
Qualitest acq,https://de.linkedin.com/company/qualitest-germany,Data Collection Associate,,0
Forward Funding,https://ca.linkedin.com/company/forward-funding,Loan Processor,,0
Grady Health System,https://www.linkedin.com/company/gradyhealth,Payment Posting Specialist,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Philips,https://nl.linkedin.com/company/philips,"Data Engineer – Development & Analytics (Bedford, MA)",,125 applicants
24-MAG,https://www.linkedin.com/company/24mag,Remote | Mathematical Diagram & Chart Reasoning Specialist — $70–$85/hour,,0
Talently,https://www.linkedin.com/company/talently-recruiting,Senior Data Engineer,,0
Talently,https://www.linkedin.com/company/talently-recruiting,Senior Data Engineer,,0
BlueCross BlueShield of South Carolina,https://www.linkedin.com/company/bluecross-blueshield-of-sc,Senior Developer,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Alignerr,https://www.linkedin.com/company/alignerr,Software Testing Analyst – AI Code Quality,,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - Toluca, Mexico",,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
XPENG,https://cn.linkedin.com/company/xpengglobal,Senior Staff AI Data Infrastructure Engineer,,0
Kestra Financial,https://www.linkedin.com/company/kestra-financial,Platform Engineer,,0
"MortgagePros, LLC",https://www.linkedin.com/company/mortgagepros,Closing Specialist,,0
Alignerr,https://www.linkedin.com/company/alignerr,Data Scientist (Masters),,0
Amentum,https://www.linkedin.com/company/amentumcorp,Full Stack Developer,,0
Walmart Canada,https://ca.linkedin.com/company/wal-mart-canada,Staff Software Engineer,,0
BerryBytes,https://in.linkedin.com/company/berrybytes,AI Infra Engineer – SRE (Kubernetes),,0
Mercor,https://www.linkedin.com/company/mercor-ai,Investment Banking Analyst - AI Trainer,,0
ArcheSys Inc,https://www.linkedin.com/company/archesys-inc,Salesforce Developer,,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
ArcheSys Inc,https://www.linkedin.com/company/archesys-inc,Cloud Engineer,,31 applicants
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - Saltillo, Mexico",,0
Hand & Stone Massage and Facial Spa,https://www.linkedin.com/company/hand-and-stone-massage-and-facial-spa,Recruiting Talent Systems Specialist,,0
PayPal,https://www.linkedin.com/company/paypal,VAS & Payouts Specialist,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
OCESA,https://mx.linkedin.com/company/ocesa,Gerente Planeación Financiera Jr,,25 applicants
Scotiabank,https://ca.linkedin.com/company/scotiabank,"Manager, Data Acquisition & Integration",,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
LaunchPoint,https://www.linkedin.com/company/launchpointmiami,Management Trainee (Entry Level),,0
Alignerr,https://www.linkedin.com/company/alignerr,Financial Analyst — AI Reviewer (Python & US Modeling),,0
WellnessLiving,https://ca.linkedin.com/company/wellnesslivingsoftware,Senior Data Engineer,,0
"OASYS, INC.",https://www.linkedin.com/company/oasys-inc-,Intermediate Software Developer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,AI Engineer - AI Trainer,,0
Alegeus,https://www.linkedin.com/company/alegeus-technologies,Site Reliability Engineer I,,0
Summit Wash Holdings,https://www.linkedin.com/company/summit-wash-holdings,Entry Ride Operator,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Engineering Expert - Fully Remote | Upto $75/hr Hourly - AI Trainer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Note-Taking Specialist - Fully Remote | Upto $100 Part-time - AI Trainer,,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Mexico Residents - Survey Participants - Morelia, Mexico",,0
Alignerr,https://www.linkedin.com/company/alignerr,Finance & Python Expert — AI Model Reviewer,,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Python - Senior Developers - AI Training - Washington DC, USA",,0
"ForFutures Financial, Planning, a financial advisory practice of Ameriprise Financial Services LLC",https://www.linkedin.com/company/forffutures-financial-planning-ltd,People Analytics Intern,,30 applicants
CREAO AI,https://www.linkedin.com/company/creaoai,AI Go-to-Market Specialist,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Content Reviewer | Upto $50/hr Hourly - AI Trainer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Data Analyst,,90 applicants
24-MAG,https://www.linkedin.com/company/24mag,Remote | Advanced Mathematical Reasoning Specialist — $45–$70/hour,,0
Coates Group,https://au.linkedin.com/company/coatesgroup,Principal Engineer,,0
CREAO AI,https://www.linkedin.com/company/creaoai,AI Go-to-Market Specialist,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Content Reviewer | Upto $50/hr Hourly - AI Trainer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Data Analyst,,90 applicants
24-MAG,https://www.linkedin.com/company/24mag,Remote | Advanced Mathematical Reasoning Specialist — $45–$70/hour,,0
Coates Group,https://au.linkedin.com/company/coatesgroup,Principal Engineer,,0
Bank of America,https://www.linkedin.com/company/bank-of-america,"Analyst/ Associate: Equity Research, Airlines and Leisure",,32 applicants
Mercor,https://www.linkedin.com/company/mercor-ai,Computer Scientist - AI Trainer,,0
Cync Software,https://www.linkedin.com/company/cyncsoftware,Solution Engineer,,0
Akash Systems,https://www.linkedin.com/company/akash-systems-inc.,Junior Accountant,,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
Blue Mountain,https://www.linkedin.com/company/blue-mountain-quality-resources,Remote Revenue Operations Analyst Internship,,31 applicants
Lumenalta,https://www.linkedin.com/company/lumenalta,Data Engineer - Databricks (Remote),,0
Nood,https://www.linkedin.com/company/trynood,Head of Digital,,89 applicants
eNGINE,https://www.linkedin.com/company/enginehires,Full Stack Engineer Angular Focus,,71 applicants
ArcheSys Inc,https://www.linkedin.com/company/archesys-inc,DevOps Engineer,,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
Saleo,https://www.linkedin.com/company/saleo-sales-demo-platform,Quality Assurance Analyst,,28 applicants
Lumenalta,https://www.linkedin.com/company/lumenalta,Data Engineer - Databricks (Remote),,0
Nood,https://www.linkedin.com/company/trynood,Head of Digital,,89 applicants
eNGINE,https://www.linkedin.com/company/enginehires,Full Stack Engineer Angular Focus,,71 applicants
ArcheSys Inc,https://www.linkedin.com/company/archesys-inc,DevOps Engineer,,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
Saleo,https://www.linkedin.com/company/saleo-sales-demo-platform,Quality Assurance Analyst,,28 applicants
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
Adamson Systems Engineering,https://ca.linkedin.com/company/adamson-systems-engineering,Firmware Engineer,,0
Nancy Assists,https://uk.linkedin.com/company/nancyassists,Hiring JD Lawyers to Support AI Research — Flexible Remote Work (20–40 hrs/week),,0
Alignerr,https://www.linkedin.com/company/alignerr,Data Scientist (Masters),,0
Alignerr,https://www.linkedin.com/company/alignerr,Computer Engineering,,0
Adamson Systems Engineering,https://ca.linkedin.com/company/adamson-systems-engineering,Firmware Engineer,,0
Nancy Assists,https://uk.linkedin.com/company/nancyassists,Hiring JD Lawyers to Support AI Research — Flexible Remote Work (20–40 hrs/week),,0
Alignerr,https://www.linkedin.com/company/alignerr,Data Scientist (Masters),,0
Lumenalta,https://www.linkedin.com/company/lumenalta,Data Engineer - Databricks (Remote),,0
Mansfield Agency,https://www.linkedin.com/company/the-mansfield-agency-sfg,Entry Level Remote Sales (No Experience Needed) Job,,0
Bank of America,https://www.linkedin.com/company/bank-of-america,Data Scientist I,,41 applicants
KnowHireMatch,https://www.linkedin.com/company/knowhirematch,Automation Engineer,,0
Bank of America,https://www.linkedin.com/company/bank-of-america,Data Scientist I,,0
Alignerr,https://www.linkedin.com/company/alignerr,Lua Programmer,,0
